업종(대),업종(중),상호,매출액,매출액증가율
외식,,(주)닥인흥업,"540,624",-59.33%
외식,,(주)탐라드림,"536,880",산출불가
외식,,(주)남도가,"533,468",산출불가
외식,,소보양본가,"529,933",13.89%
외식,,(주)오매족서면본점,"529,234",726.49%
외식,,킹아구해물찜아중점,"528,704",-4.52%
외식,,(주)엑츠에프씨,"527,740","274,764.58%"
외식,,냠냠족발앤보쌈,"527,649",40.08%
외식,,고미꽃시래,"514,691",-11.58%
외식,,브라더F&H,"511,525",18.33%
외식,,(주)존슨푸드코리아,"511,504",-2.76%
외식,,(주)피플앤푸드,"505,185",8.93%
외식,,다니엘푸드,"504,254",6.04%
외식,,한양칼국수,"503,769",-36.22%
