브랜드,상호,창업비용
플래뮤아트센터,(주)플래뮤,"104,050
(0.91)"
브레인스쿨,(주)한솔교육,"103,000
(0.90)"
책읽는미술관,(주)책읽는미술관,"102,410
(0.89)"
탑코딩에듀,(주)에이치비(HB)네트워크,"98,450
(0.86)"
작업실(Zacup실),윌비아트앤매니지먼트(주),"95,872
(0.83)"
필랜드 예술원,필랜드에듀(주),"94,900
(0.83)"
지니코드,지니코드,"87,800
(0.76)"
키즈스피치마루지,(주)에스앤브이,"87,700
(0.76)"
루트원,(주)오메가포인트,"86,100
(0.75)"
로봇과학클럽,한국로봇과학교육협동조합,"79,800
(0.69)"
코딩놀자,더캠트사업본부,"79,040
(0.69)"
드럼메이트(DRUMMATE),드럼메이트,"77,150
(0.67)"
석세스뮤직(SUCCESS MUSIC),(주)에듀석세스,"75,000
(0.65)"
분더논학(논술학습코칭),분더논학(논술학습코칭),"75,000
(0.65)"
샘앤클래스(Sam&Class),(주)오르다코리아,"74,600
(0.65)"
아티스(Arty's),늘꿈아티스,"73,480
(0.64)"
책먹는미술관,책먹는미술관미술학원,"73,000
(0.64)"
에듀코치,넥스큐브코퍼레이션(주),"71,500
(0.62)"
블럭파티plus,(주)골든스트릿,"66,426
(0.58)"
mbc아카데미뷰티학원,(주)뷰티르샤,"66,000
(0.57)"
프리미어 뮤직(Premier Music),(주)프리미어에듀케이션,"66,000
(0.57)"
쥬트아뜰리에,수리앤코(주),"65,720
(0.57)"
아랑고고장구,(주)아랑,"64,900
(0.56)"
씽크스퀘어,(주)씽크스퀘어,"63,700
(0.55)"
그림아트스튜디오,(주)그림아트스튜디오,"61,000
(0.53)"
파리아트마인,(주)파리아트마인,"60,200
(0.52)"
책나무,책나무,"60,080
(0.52)"
에이원민턴,(주)에이원민턴,"59,950
(0.52)"
스칸디오감,(주)프렌즈에듀,"59,200
(0.52)"
소소한날,소소한날소잉스튜디오,"58,750
(0.51)"
딩딩딩뮤직스쿨,(주)코앤코,"58,500
(0.51)"
호키태권도,호키태권도(주),"57,970
(0.50)"
뮤앤무오르프,(주)뮤앤무,"56,700
(0.49)"
책과그림숲,책과그림숲,"56,660
(0.49)"
플래뮤 아트 라이브러리,(주)플래뮤에듀랩,"54,280
(0.47)"
키즈스피치예소스,키즈스피치예소스학원,"54,250
(0.47)"
뷰엠,뷰엠네일전문학원,"53,758
(0.47)"
뷰엠,뷰엠네일전문학원,"53,758
(0.47)"
시작라이브러리,(주)스탠다드메이커,"53,680
(0.47)"
아이꼬모 디자인미술,도서출판goodbook(굿북),"53,438
(0.47)"
미미살롱,미미살롱,"52,800
(0.46)"
지니위니,지니위니,"52,250
(0.45)"
6센스 뮤지컬학원,6센스뮤지컬학원,"51,700
(0.45)"
쁘리몬테,(주)스콜라몬테소리,"51,700
(0.45)"
쁘리몬테,(주)스콜라몬테소리,"51,700
(0.45)"
유니팝,유니팝미술학원,"50,700
(0.44)"
초록배낭 교육여행,(주)초록배낭,"50,694
(0.44)"
비끄아트,(주)비끄아트연구소,"50,050
(0.44)"
한우리독서토론논술,(주)한우리열린교육,"50,000
(0.44)"
안정환에프씨,(주)안정환에프씨,"50,000
(0.44)"
예숨,파랑새협동조합경기공예예술터,"47,597
(0.41)"
수빈아카데미,(주)수빈아카데미,"47,500
(0.41)"
리브로아르츠,리브로아르츠,"47,300
(0.41)"
코딩앤플레이,(주)코딩앤플레이,"46,500
(0.40)"
네모피아노네모오르프,(주)음악세계,"44,750
(0.39)"
6센스플러스,6센스플러스,"44,055
(0.38)"
머리에그리는홍선생미술,(주)홍선생교육,"41,500
(0.36)"
그린별미술,그린별미술,"40,200
(0.35)"
쿤스트(Kunst),(주)쿤스트,"39,930
(0.35)"
히어로즈LAB,히어로즈랩,"39,830
(0.35)"
소리노리(SORINORI),(주)소리노리,"38,400
(0.33)"
153셀라음악학원,셀라2음악학원,"37,685
(0.33)"
아이키친,아이키친,"37,236
(0.32)"
승리마루태권도,승리마루태권도장,"37,180
(0.32)"
MAZA,(주)맨투맨키즈,"36,500
(0.32)"
어린음악대,주은교육(주),"36,400
(0.32)"
키즈재미,(주)채움플러스교육,"36,080
(0.31)"
쁘리몽,(주)스콜라몬테소리,"35,200
(0.31)"
아이튼에이스교육(AIGHTEN AIS EDU),"㈜아이튼(AIGHTENco.,LTD.)","34,400
(0.30)"
엠티에이(MTA),(주)엠티에이태권도,"34,380
(0.30)"
엘파스,엘파스놀이학원,"33,000
(0.29)"
마이퍼스트뮤직,마이퍼스트뮤직,"33,000
(0.29)"
박선생 창의역사지리교실,박선생창의역사지리교실(주),"32,012
(0.28)"
메타바둑학원,(주)지앤비에듀,"29,430
(0.26)"
순옥포슬린아트아카데미,SOONOK포슬린아트아카데미,"28,820
(0.25)"
헬렌의마르세이유,(주)헬렌앤제이,"28,380
(0.25)"
렛츠어스,미래인재교육협동조합,"28,050
(0.24)"
홍익아트,(주)홍익아트,"26,552
(0.23)"
영재들의미술상자,(주)베라,"26,300
(0.23)"
홍앤아트,(주)홍익비젼미술,"25,550
(0.22)"
아소비,(주)아소비교육,"24,935
(0.22)"
한국치매예방협회,(주)한국치매예방협회,"24,600
(0.21)"
531훈민정음武,열린교육사,"24,200
(0.21)"
친구야 미술,친구야미술,"24,086
(0.21)"
포슬린페인팅Art스쿨(KPAS),포슬린페인팅아트(Art)스쿨,"22,110
(0.19)"
아트앤하트,(주)아트앤하트글로벌,"22,000
(0.19)"
브레인아트,브레인아트,"22,000
(0.19)"
버터비(Butterbe),버터비베이킹스튜디오,"21,910
(0.19)"
한솔교육플라톤지사,(주)한솔교육,"21,000
(0.18)"
에프2엠지글로벌뷰티아카데미(F2MG글로벌뷰티아카데미),(주)에프2엠지글로벌뷰티아카데미,"20,000
(0.17)"
자라다남아미술학원,(주)자라다교육,"18,700
(0.16)"
아트모마,에스투(주),"18,700
(0.16)"
뮤직뮤직,뮤직뮤직,"17,960
(0.16)"
어린화가들,주은교육(주),"17,400
(0.15)"
마리뮤직홈스쿨,마리뮤직홈스쿨,"17,300
(0.15)"
아이지미술,(주)한국방송영재교육원,"17,000
(0.15)"
영렘브란트,(주)아트크레오,"16,500
(0.14)"
꽃이야 나무야,꽃이야나무야,"16,000
(0.14)"
크리아트,(주)크리아트,"15,300
(0.13)"
이루미독서논술,(주)이루미에듀테크,"14,000
(0.12)"
생글인문학당,(주)생글교육,"11,820
(0.10)"
방문미술그림샘,방문미술그림샘,"11,000
(0.10)"
한솔교육한글지사,(주)한솔교육,"11,000
(0.10)"
나나스피치,나나에듀,"10,635
(0.09)"
딸기아트센터,(주)딸기아트센터,"10,133
(0.09)"
도레미뮤직,키움교육,"10,120
(0.09)"
힐링리듬댄스,힐링리듬댄스진흥원,"9,800
(0.09)"
마이퍼스트 오감놀이터,마이퍼스트뮤직,"9,150
(0.08)"
조이스감성미술학원,조이스감성미술학원,"8,650
(0.08)"
리스펙 채대입시,(주)투에스,"8,050
(0.07)"
지니어스 뮤직 코리아,지니어스피아노(GeniusPiano),"7,920
(0.07)"
지니어스 뮤직 코리아,지니어스피아노(GeniusPiano),"7,920
(0.07)"
지니어스 뮤직 코리아,지니어스피아노(GeniusPiano),"7,920
(0.07)"
포인트정석속독,(주)피알에스창의독서개발원,"7,000
(0.06)"
CMP역량교육센터,(주)창의와날개,"6,700
(0.06)"
오르피아,(주)뮤앤무,"5,500
(0.05)"
씽씽놀이터,씽씽놀이터,"5,400
(0.05)"
유피학습,(주)유피교육,"5,365
(0.05)"
예스셈,예스스터디(주),"3,850
(0.03)"
가치인 독서논술&디베이트,가치인독서논술&디베이트,"3,520
(0.03)"
제3교실,(주)화신이앤엘,"990
(0.01)"
평균,-,"285,396
(1.00)"
뽀로로파크,(주)뽀로로파크,"2,147,500
(7.52)"
어울놀이,(주)빅맨,"716,000
(2.51)"
딸기가좋아,(주)미래엔에듀케어,"693,000
(2.43)"
슈퍼윙스키즈카페,(주)키즈코리아,"677,550
(2.37)"
타요키즈카페,(주)플레이스원,"613,500
(2.15)"
