업종(대),업종(중),브랜드,상호,가맹사업 개시일,가맹사업 년수
,,소소한날,소소한날소잉스튜디오,2019-05-03,1년  7개월
,,MAZA,(주)맨투맨키즈,2007-12-26,13년  0개월
,,CMP역량교육센터,(주)창의와날개,2020-04-22,0년  8개월
,,지니어스 뮤직 코리아,지니어스피아노(GeniusPiano),2019-09-02,1년  3개월
,,지니어스 뮤직 코리아,지니어스피아노(GeniusPiano),2019-09-02,1년  3개월
,,스칸디오감,(주)프렌즈에듀,2019-08-15,1년  4개월
,,스텔라요가 & 필라테스,도안스텔라요가&필라테스,2017-08-07,3년  4개월
,,코딩놀자,더캠트사업본부,2017-12-15,3년  0개월
,,지니어스 뮤직 코리아,지니어스피아노(GeniusPiano),2019-09-02,1년  3개월
,,그림아트스튜디오,(주)그림아트스튜디오,2019-04-30,1년  8개월
,,순옥포슬린아트아카데미,SOONOK포슬린아트아카데미,2012-01-26,8년  11개월
,,분더논학(논술학습코칭),분더논학(논술학습코칭),--,0년  0개월
,,531훈민정음武,열린교육사,2015-10-19,5년  2개월
,,6센스 뮤지컬학원,6센스뮤지컬학원,--,0년  0개월
,,영재오운동발달센터,(주)임서영영재교육연구소,--,0년  0개월
,,아카데미 디아랑,대유코퍼레이션,--,0년  0개월
,,써브마린,써브마린,2018-06-01,2년  6개월
,,생글인문학당,(주)생글교육,--,0년  0개월
,,리스펙 채대입시,(주)투에스,--,0년  0개월
,,영재들의미술상자,(주)베라,2004-04-01,16년  8개월
,,감성실용음악학원,(주)이씨아이,2014-05-01,6년  7개월
,,수빈아카데미,(주)수빈아카데미,2003-02-17,17년  10개월
,,지니코드,지니코드,2017-09-20,3년  3개월
,,위드피아레트,위드피아노(주),2017-09-25,3년  3개월
,,친구야 미술,친구야미술,--,0년  0개월
,,온맘터치 교육원,온맘터치협동조합,--,0년  0개월
,,쁘리몽,(주)스콜라몬테소리,--,0년  0개월
,,렛츠어스,미래인재교육협동조합,--,0년  0개월
,,메타바둑학원,(주)지앤비에듀,--,0년  0개월
,,지니포레,(주)뫼비우스,2014-11-01,6년  1개월
,,씨엠에스(CMS),(주)씨엠에스에듀,2006-05-08,14년  7개월
,,키즈재미,(주)채움플러스교육,2018-02-01,2년  10개월
,,예숨,파랑새협동조합경기공예예술터,2016-04-21,4년  8개월
,,키즈스피치엠비씨키치,(주)엠비씨아카데미,2020-05-07,0년  7개월
,,아이슐레,(주)뫼비우스,2015-01-02,5년  11개월
,,딸기아트센터,(주)딸기아트센터,2011-01-01,9년  11개월
,,코딩앤플레이,(주)코딩앤플레이,2017-02-09,3년  10개월
,,아소비,(주)아소비교육,2008-07-14,12년  5개월
,,유니팝,유니팝미술학원,2015-03-01,5년  9개월
,,아름다운사람들,(주)에이치앤에스이노베이션,1998-01-01,22년  11개월
,,어린이천문대,(주)아스트로캠프,2009-12-11,11년  0개월
,,호키태권도,호키태권도(주),2017-08-31,3년  4개월
,,초록배낭 교육여행,(주)초록배낭,2011-02-22,9년  10개월
,,엘파스,엘파스놀이학원,2017-09-12,3년  3개월
,,뷰엠,뷰엠네일전문학원,--,0년  0개월
,,뷰엠,뷰엠네일전문학원,--,0년  0개월
,,도레미뮤직,키움교육,--,0년  0개월
,,브레노스 매쓰몽(BRENOS MATHMONG),수와북,2019-10-23,1년  2개월
,,아이키친,아이키친,2016-11-21,4년  1개월
,,솔뫼축구센터,에스에프씨교육지원센터,--,0년  0개월
,,비케이스터디카페,(주)비케이스터디카페,--,0년  0개월
,,아이튼에이스교육(AIGHTEN AIS EDU),"㈜아이튼(AIGHTENco.,LTD.)",--,0년  0개월
,,드럼메이트(DRUMMATE),드럼메이트,--,0년  0개월
,,키즈칼리지(KID'S COLLEGE),(주)키즈칼리지,2020-04-25,0년  8개월
,,루켄(LOOKEN),루켄에듀플러스,2020-01-01,0년  11개월
,,아츠맘플레이,(주)제이앤디힐링뮤직,--,0년  0개월
,,디랩코딩,(주)디랩,--,0년  0개월
,,시너지플레이스,(주)도담에프앤비,2020-04-28,0년  8개월
,,잼실용음악학원,(주)잼실용음악학원,2020-01-06,0년  11개월
,,씨큐브코딩,(주)씨엠에스에듀,2019-09-01,1년  3개월
,,네모피아노네모오르프,(주)음악세계,--,0년  0개월
,,예스셈,예스스터디(주),2006-05-16,14년  7개월
,,씽크스퀘어,(주)씽크스퀘어,2006-12-01,14년  0개월
,,키즈 더 위즈,더위즈영재교육놀이학원,2017-10-01,3년  2개월
,,안정환에프씨,(주)안정환에프씨,2018-03-23,2년  9개월
,,히어로즈LAB,히어로즈랩,2019-08-06,1년  4개월
,,그린별미술,그린별미술,--,0년  0개월
,,파리아트마인,(주)파리아트마인,--,0년  0개월
,,방문미술그림샘,방문미술그림샘,2009-09-07,11년  3개월
,,효전글로벌평생교육원,(주)효전,2014-02-03,6년  10개월
,,토토빌,(주)토토빌키즈,2012-09-17,8년  3개월
,,밸런스워킹PT,밸런스워킹피티(PT)교육연구소,--,0년  0개월
,,이엠파워 근골격운동센터,(주)진스엠파워,2019-01-02,1년  11개월
