업종(대),업종(중),브랜드,상호,가맹사업 개시일,가맹사업 년수
,,꿈을만드는공방,위클리컨셉,2018-08-07,2년  4개월
,,생활애,좋은세상협동조합,2013-09-13,7년  3개월
,,링플레이트(Ring Plate),링플레이트,2017-08-01,3년  4개월
,,은가비,(주)은빛,2019-10-31,1년  2개월
,,아토즈캠핑,(주)아토즈플랜,2018-11-12,2년  1개월
,,꽃블리,블리컴퍼니,2019-07-19,1년  5개월
,,디씨90안경,디씨90안경체인(주),2019-07-15,1년  5개월
,,미니소,(주)퍼스트인사이트,2016-11-23,4년  1개월
,,애플몽키,애플몽키,2019-05-03,1년  7개월
,,텐바이텐,(주)텐바이텐,2005-04-01,15년  8개월
,,로즈데코,로즈데코,2018-09-15,2년  3개월
,,학사농장,영농조합법인학사농장,2014-04-07,6년  8개월
,,딩동,제이디아이엔씨(주),2017-12-01,3년  0개월
,,지구별함께가게,함께하는그날협동조합,2019-12-03,1년  0개월
,,LIBERTE(리베흐테),리베흐테(Liberte),2017-04-20,3년  8개월
,,달달상자,달달상자,2019-02-01,1년  10개월
,,크린디포,크린디포,2013-05-02,7년  7개월
,,펫그램,펫그램,2019-09-03,1년  3개월
,,헬로앨리스마켓24,(주)모숨리테일,2019-05-10,1년  7개월
,,블랙샤인,블랙샤인명동본점,2016-05-16,4년  7개월
,,엄마노리,엄마노리,2017-11-03,3년  1개월
,,레드망고,릴레이인터내셔널(주),2003-07-08,17년  5개월
,,이노메싸,(주)이노메싸,2019-10-18,1년  2개월
,,밀레쥬(Mille Zoo),(주)밀레펫,2015-10-30,5년  2개월
,,토이강정,(주)인왕,2018-12-07,2년  0개월
,,모닝글로리,(주)모닝글로리,1996-01-07,24년  11개월
,,생채움,(주)에스앤푸드,2015-04-23,5년  8개월
,,THE달달,(주)트러스트,2017-07-16,3년  5개월
,,노마진아이스크림할인점,노마진유통,2017-05-03,3년  7개월
,,명동김치,명동김치,--,0년  0개월
,,렌즈베리,(주)렌즈베리,2020-01-02,0년  11개월
,,PLAIN BRAND(플레인브랜드),(주)플레인브랜드리테일,2020-04-23,0년  8개월
,,De:pado,(주)용감한친구들,--,0년  0개월
,,라프라스(LAPLAS),(주)라프라스,2018-02-02,2년  10개월
,,고스락,고스락(주),2020-04-01,0년  8개월
,,건담빌,더캠트사업본부,--,0년  0개월
,,바이셀폰,바이셀폰,--,0년  0개월
,,착한아이스크림 할인점,(주)착한유통,--,0년  0개월
,,썰다,썰다,--,0년  0개월
,,미니스피어싱,(주)엠케이스페스,--,0년  0개월
,,신선한 포크,농업회사법인㈜피드앤,2020-09-21,0년  3개월
,,가로세로블라인드(GAROSEROBLINDS),(주)리코블라인드,--,0년  0개월
,,농협홀푸드,(주)농협홍삼,2015-09-17,5년  3개월
,,핑거네일투고,(주)핑거네일투고,2017-01-16,3년  11개월
,,멜랑주,제이앤비(J&B)하우스,2020-01-09,0년  11개월
,,후레쉬영,(주)훌랄라,2020-04-25,0년  8개월
,,라치나타,(주)라치나타코리아,--,0년  0개월
,,티케,(주)성박,2014-06-01,6년  6개월
,,굿포유(Good for you),(주)다옴케이,--,0년  0개월
,,생활방역의시작 와사비안카페,(주)브니엘월드,--,0년  0개월
,,헤나킹,(주)자연가득,2013-05-15,7년  7개월
,,건축자재 & 門 편의점,건축자재&門편의점,--,0년  0개월
,,아이스홀릭,보이스펙토리,--,0년  0개월
,,오독오독,(주)오독오독,--,0년  0개월
,,TV&TV(티비앤티비),(주)티비앤티비바이오,2018-12-29,2년  0개월
,,비타본(VITABON),(주)비타본,2018-05-31,2년  7개월
,,함지박,해닮,2018-09-05,2년  3개월
,,클리어창,(유)클리어창,--,0년  0개월
,,온맘터치 복지용구,온맘터치협동조합,--,0년  0개월
,,지담아요(GDAMAYO),(주)담아요,--,0년  0개월
,,전국열쇠공사,(주)전국열쇠공사,2015-06-01,5년  6개월
,,식스에비뉴,(주)부흥,2019-05-18,1년  7개월
,,맥아더마트,맥아더,--,0년  0개월
,,유킹,(주)유킹,2019-10-10,1년  2개월
,,케이앤에스(KNS),(주)케이앤에스,--,0년  0개월
,,한상드림,농업회사법인(주)다온프레쉬,--,0년  0개월
,,에이아이쿡,(주)에이아이비트,--,0년  0개월
,,장독대,장독대(주),--,0년  0개월
,,아로마갤러리,대원아로마,2003-04-10,17년  8개월
,,맘앤팜,(주)지엔에스엠엔에프,2009-02-01,11년  10개월
,,내맘대로폰케이스,(주)더만듦,2017-04-01,3년  8개월
,,다르지오(DARUGIO),(주)다르지오,2018-12-24,2년  0개월
,,내맘대로다꾸다꾸,(주)더만듦,--,0년  0개월
,,그램벌룬(gramballoon),그램벌룬,2020-01-08,0년  11개월
,,공찬,(주)이음글로비즈,--,0년  0개월
,,플다몰,(주)플로드,2020-07-30,0년  5개월
,,닭찬들마켓,(주)유익상사,--,0년  0개월
,,마켓올닭,(주)계발자들,--,0년  0개월
,,까까주까,(주)아이스타,--,0년  0개월
,,느린수제우유,느린우유협동조합,--,0년  0개월
,,달밤에체조,더블유제이커머스(주),--,0년  0개월
,,캐틀하우스,(주)탑브릿지,--,0년  0개월
,,통구 지하철알뜰폰,(주)통구,2017-09-28,3년  3개월
,,에이스하드웨어,(주)유진홈센터,--,0년  0개월
,,아프로디테코리아,(주)아프로디테코리아,--,0년  0개월
,,아이스테이션,(주)토마토디앤씨,2020-04-21,0년  8개월
,,에어바이킹,(주)에어바이킹,--,0년  0개월
,,도깨비냉장고 아이스크림할인점,도깨비냉장고아이스크림할인점본점,2020-05-04,0년  7개월
,,보리네 엠플러스,보리네협동조합,--,0년  0개월
,,수미찬,수미찬F&B,--,0년  0개월
,,중고나라,(주)중고나라,--,0년  0개월
,,홈플러스익스프레스,홈플러스(주),2010-02-06,10년  10개월
,,모셀두피항노화센터,(주)모셀,--,0년  0개월
,,찡어쌀롱,찡어쌀롱,--,0년  0개월
,,MK,(주)엠케이,2018-05-16,2년  7개월
,,꿈꾸는방,(주)더아쿠아,2020-04-10,0년  8개월
,,에이엠스쿨,에이엠스쿨,--,0년  0개월
,,위드어썸,숟가락젓가락들고위드어썸,--,0년  0개월
,,가위이야기,(주)가위이야기,--,0년  0개월
,,렌즈페이스(LENSFACE),한샘스타즈(주),--,0년  0개월
,,설탕텔레콤,(주)평강솔루션,--,0년  0개월
,,아이캔비어,아이캔비어,--,0년  0개월
,,토이플러스,오로라월드(주),--,0년  0개월
,,콰드로에이치,(주)로얄그린,--,0년  0개월
,,섹시큐브,(주)미래의공간,--,0년  0개월
,,락앤락플러스(LOCK&LOCK PLUS),(주)락앤락,2011-01-02,9년  11개월
,,굿샵,(주)굿샵,2018-03-02,2년  9개월
,,박승철위그스투디오,(주)박승철위그랩,--,0년  0개월
,,정갈한찬,정갈한찬,2020-04-04,0년  8개월
,,비비히어링,비비소비자(협),--,0년  0개월
,,스마트폰면세점,스마트폰면세점,--,0년  0개월
,,"그날, 간식","그날,간식",--,0년  0개월
,,맥아더무인할인마트,맥아더마트,--,0년  0개월
