브랜드,상호,창업비용
이정혁 계양 동태탕 동태찜,(주)신화식품,"142,491
(0.46)"
해늘찹쌀순대,(주)해늘,"141,998
(0.46)"
대패꽃필무렵,(주)다담에프앤비,"141,900
(0.46)"
한우와버거 5628,한우와버거5628,"141,450
(0.46)"
아!이맛이야 철판산성,아이맛이야철판구이,"141,400
(0.46)"
바른화로,(주)달콤한세상,"141,200
(0.46)"
단물곤물,단물곤물,"140,720
(0.45)"
해장꾹이,(주)우분트,"140,600
(0.45)"
곱품닭,(주)맛있는수다,"140,600
(0.45)"
신이내린족발과보쌈,(주)상진에프앤비,"140,520
(0.45)"
청국장과보리밥,농협회사법인(주)인건,"140,500
(0.45)"
백청우칼국수,백청우칼국수,"140,080
(0.45)"
송옥,(주)송옥엔,"139,800
(0.45)"
정광석 항아리보쌈,더나은푸드,"139,700
(0.45)"
일품장수미역,(주)장수푸드,"139,680
(0.45)"
뼈대있는 고수 돼지집,착한창업연구소씨엠아이,"139,640
(0.45)"
성경만두요리전문점,(주)성경에프앤에스,"139,250
(0.45)"
술낭구,DONGJUND.home(동준디홈),"139,200
(0.45)"
김경자소문난대구왕뽈찜,해듬(주),"139,200
(0.45)"
유성갈비,유성컴퍼니,"139,000
(0.45)"
제주등뼈가,(주)푸드윈,"138,600
(0.45)"
맷돌로만,농업회사법인(주)엠에스푸드,"137,750
(0.44)"
청년고기장수,청년히어로즈,"137,632
(0.44)"
일품투가리감자탕,(주)좋은우리,"137,550
(0.44)"
함흥제일 속초 코다리냉면,(주)선호에프앤비,"137,420
(0.44)"
백종원의원조쌈밥집,(주)더본코리아,"137,360
(0.44)"
황소갈비,(주)명성에프앤비,"137,270
(0.44)"
명태정가,명태정가,"137,200
(0.44)"
곱창이최고예요,곱창이최고예요(수송본점),"137,020
(0.44)"
육시리,티티씨에프,"137,000
(0.44)"
최정옥 미성복어불고기,(주)미성푸드시스템,"137,000
(0.44)"
전주24시참편한39콩나물국밥,(주)참편한칭구,"136,700
(0.44)"
편백가원,편백가원,"136,640
(0.44)"
더다함감자탕,더다함감자탕,"136,500
(0.44)"
통큰손쭈꾸미마을,(주)하늘샘,"136,450
(0.44)"
조리고,조리고,"136,400
(0.44)"
개성집,유황F&S,"136,100
(0.44)"
해빔,(주)제이푸드서비스,"135,900
(0.44)"
